Channel ID,Channel URL,Channel title
UCb0nQdDNr6PhNY_fWxigitQ,http://www.youtube.com/channel/UCb0nQdDNr6PhNY_fWxigitQ,IQ Booster
UCrcPCuPv0X4Lr3tommVK0lQ,http://www.youtube.com/channel/UCrcPCuPv0X4Lr3tommVK0lQ,Spoken English Guru

